mz,int
95.94813 ,317.0755
195.03404 ,430.2684
252.03904 ,321.0519
270.04564 ,235.9406
264.42449 ,176.9592
280.54966 ,270.7954
259.01293 ,1168.3910
274.98948 ,949.1731
290.98274 ,785.6150
452.07403 ,2649.0615
451.07666 ,7101.9282
450.07355 ,46549.9359
449.07910 ,53521.1661
448.07641 ,313358.7120
